Date time,Temperature,Conditions
12/01/2013,42.6,Clear
12/02/2013,44.3,Clear
12/03/2013,45.4,Clear
12/04/2013,46,Clear
12/05/2013,53.2,Rain
12/06/2013,48.7,Rain
12/07/2013,37.3,Rain
12/08/2013,31.1,Rain
12/09/2013,36.4,Rain
12/10/2013,34.2,Rain
12/11/2013,30.6,Clear
12/12/2013,26.1,Clear
12/13/2013,29.6,Clear
12/14/2013,27.6,Rain
12/15/2013,35.9,Rain
12/16/2013,29.1,Clear
12/17/2013,27.4,Rain
12/18/2013,30.6,Clear
12/19/2013,37.3,Clear
12/20/2013,46.1,Clear
12/21/2013,53.6,Rain
12/22/2013,62.5,Rain
12/23/2013,55,Rain
12/24/2013,36,Clear
12/25/2013,24.6,Clear
12/26/2013,32.7,Clear
12/27/2013,35.3,Clear
12/28/2013,43,Clear
12/29/2013,43.8,Rain
12/30/2013,36.5,Clear
12/31/2013,26.9,Clear
